concurrency,count,command,Mean [CPU]Totl% excluding 0%,Mean [MEM]Used,sum(Disk Read + Write KB)
1,1,load,33.015625,3222866.375,17200.0
1,2,load,32.578947368421055,3217306.6315789474,15000.0
1,3,load,31.844827586206897,3248135.4482758623,13333.0
1,4,load,31.029411764705884,3219129.3529411764,12800.0
1,5,load,31.045454545454547,3205385.090909091,12615.0
1,6,load,32.644067796610166,3253909.694915254,12308.0
1,7,load,28.74074074074074,3235467.160493827,18000.0
1,8,load,33.94915254237288,3222714.375,16000.0
1,9,load,30.796875,3234597.5,13667.0
1,10,load,31.16923076923077,3234881.4153846153,16000.0
1,11,load,32.50819672131148,3252488.0655737706,0.0
1,12,load,31.03030303030303,3221830.742857143,18800.0
1,13,load,32.52238805970149,3220516.9411764704,23429.0
1,14,load,30.733333333333334,3246689.066666667,16000.0
1,15,load,31.29268292682927,3219192.481927711,16000.0
1,16,load,31.96969696969697,3231550.117647059,24858.0
1,17,load,31.907692307692308,3227102.1142857145,16000.0
1,18,load,31.62686567164179,3250814.447761194,12800.0
1,19,load,32.43333333333333,3250597.3333333335,12308.0
1,20,load,30.977011494252874,3221350.896551724,13500.0
1,21,load,32.24285714285714,3226187.789473684,16000.0
1,22,load,31.324675324675326,3221138.649350649,16800.0
1,23,load,29.014285714285716,3272732.563380282,16400.0
1,24,load,33.05797101449275,3248594.6285714284,20000.0
1,25,load,31.304347826086957,3251656.0555555555,18286.0
1,26,load,32.78125,3243443.5428571426,16000.0
1,27,load,35.0,3243773.757575758,16400.0
1,28,load,32.36764705882353,3222143.9411764704,18500.0
1,29,load,30.726190476190474,3228500.5714285714,16000.0
1,30,load,32.710144927536234,3228336.4571428574,16000.0
1,31,load,31.10810810810811,3221671.263157895,16400.0
1,32,load,28.16883116883117,3236625.3670886075,10667.0
1,33,load,29.350649350649352,3249975.4285714286,20000.0
1,34,load,29.464285714285715,3230811.9529411765,16400.0
1,35,load,32.28378378378378,3209311.05,16800.0
1,36,load,30.703125,3268965.878787879,16000.0
1,37,load,30.772151898734176,3227794.5,20000.0
1,38,load,32.38805970149254,3249803.8260869565,13667.0
1,39,load,32.224137931034484,3249612.0625,12800.0
1,40,load,31.52173913043478,3240090.742857143,16400.0
1,41,load,31.935897435897434,3234612.476190476,16000.0
1,42,load,30.0561797752809,3242231.191011236,20500.0
1,43,load,31.320987654320987,3203947.950617284,12308.0
1,44,load,31.78125,3270808.5,16000.0
1,45,load,30.726027397260275,3263946.1621621624,16000.0
1,46,load,30.67142857142857,3233331.314285714,16400.0
1,47,load,27.71875,3266062.2769230767,13333.0
1,48,load,28.864864864864863,3269771.5263157897,17200.0
1,49,load,28.353658536585368,3250225.9277108433,12800.0
1,50,load,34.03076923076923,3249484.1714285715,16000.0
1,51,load,32.166666666666664,3249999.264367816,16000.0
1,52,load,30.85135135135135,3269042.8947368423,20500.0
1,53,load,30.56338028169014,3262977.8028169014,15500.0
1,54,load,29.397435897435898,3261827.189873418,16000.0
1,55,load,33.763636363636365,3268777.5,16400.0
1,56,load,30.96969696969697,3253607.0303030303,9846.0
1,57,load,32.10294117647059,3230557.0,16833.0
1,58,load,29.62121212121212,3253489.9393939395,16000.0
1,59,load,31.629032258064516,3266115.75,24022.0
1,60,load,33.54385964912281,3266257.8245614036,19833.0
1,61,load,33.706896551724135,3261125.8412698414,16000.0
1,62,load,30.470588235294116,3256193.1014492754,16000.0
1,63,load,32.12698412698413,3270267.619047619,16333.0
1,64,load,32.24,3261414.4,13231.0
1,65,load,33.18867924528302,3292474.295081967,16000.0
1,66,load,30.469135802469136,3268044.43902439,16000.0
1,67,load,32.189655172413794,3272260.3870967743,20000.0
1,68,load,33.51724137931034,3275138.8666666667,13334.0
1,69,load,29.955223880597014,3254519.223880597,16000.0
1,70,load,32.166666666666664,3270420.3636363638,10667.0
1,71,load,29.636363636363637,3296263.515151515,20000.0
1,72,load,31.402985074626866,3266871.9444444445,16000.0
1,73,load,29.859154929577464,3268651.0985915493,16000.0
1,74,load,28.8135593220339,3289229.0169491526,16000.0
1,75,load,33.492753623188406,3247526.685714286,13333.0
1,76,load,29.88888888888889,3244805.3333333335,16000.0
1,77,load,34.01754385964912,3257863.5483870967,12800.0
1,78,load,31.652173913043477,3269106.742857143,18700.0
1,79,load,34.18032786885246,3269367.290322581,16833.0
1,80,load,30.2,3245945.35,16400.0
1,81,load,31.127906976744185,3260974.933333333,19533.0
1,82,load,31.226666666666667,3252183.3684210526,16000.0
1,83,load,31.956521739130434,3285625.013333333,16400.0
1,84,load,32.8125,3249686.1818181816,10667.0
1,85,load,31.114285714285714,3241219.5428571426,16000.0
1,86,load,33.30357142857143,3282265.37704918,16400.0
1,87,load,31.539473684210527,3271939.7922077924,16000.0
1,88,load,30.515625,3310512.0,13333.0
1,89,load,31.140625,3277453.3538461537,16000.0
1,90,load,31.229508196721312,3259237.049180328,19533.0
1,91,load,30.523809523809526,3275268.1904761903,13231.0
1,92,load,30.225352112676056,3270746.4788732394,12800.0
1,93,load,32.421052631578945,3298196.8387096776,16000.0
1,94,load,30.90909090909091,3247972.0,16000.0
1,95,load,29.6231884057971,3250814.8,19667.0
1,96,load,30.671875,3301687.3125,16000.0
1,97,load,29.132530120481928,3277277.6666666665,16000.0
1,98,load,32.140625,3279356.875,12800.0
1,99,load,30.68421052631579,3286856.153846154,16000.0
1,100,load,33.78787878787879,3243632.0,12308.0
2,1,load,31.7,3270622.1714285715,20200.0
2,2,load,31.26984126984127,3303148.75,14800.0
2,3,load,31.47457627118644,3304746.7333333334,15600.0
2,4,load,30.942857142857143,3270997.942857143,16000.0
2,5,load,31.666666666666668,3291738.9696969697,12800.0
2,6,load,30.91025641025641,3292652.769230769,16000.0
2,7,load,32.01724137931034,3298932.896551724,16000.0
2,8,load,31.806451612903224,3280053.7846153844,16800.0
2,9,load,30.514705882352942,3288049.3529411764,16000.0
2,10,load,30.514285714285716,3267891.4285714286,16000.0
2,11,load,34.90163934426229,3293893.074626866,16400.0
2,12,load,30.80597014925373,3257921.6811594204,12800.0
2,13,load,32.285714285714285,3310784.5714285714,16000.0
2,14,load,33.18571428571428,3264785.7837837837,16400.0
2,15,load,31.96969696969697,3318819.890410959,16400.0
2,16,load,33.432432432432435,3254778.6666666665,16000.0
2,17,load,29.71641791044776,3288163.223880597,16400.0
2,18,load,31.242424242424242,3270937.272727273,13667.0
2,19,load,30.4,3237343.736842105,12800.0
2,20,load,33.689655172413794,3321707.933333333,19761.0
2,21,load,31.213333333333335,3287006.3684210526,17600.0
2,22,load,31.263157894736842,3263109.3333333335,13667.0
2,23,load,30.253731343283583,3271858.5507246377,13667.0
2,24,load,32.10144927536232,3307725.1578947366,19500.0
2,25,load,30.896551724137932,3309363.186440678,23429.0
2,26,load,33.014925373134325,3280204.656716418,13200.0
2,27,load,31.391304347826086,3285886.057142857,16800.0
2,28,load,33.66101694915254,3306558.0625,16400.0
2,29,load,29.035714285714285,3285711.285714286,16400.0
2,30,load,31.323943661971832,3293346.3661971833,16800.0
2,31,load,32.1875,3314040.9375,16400.0
2,32,load,36.26315789473684,3304247.4838709678,16000.0
2,33,load,33.0,3289069.238095238,13200.0
2,34,load,31.428571428571427,3283699.267605634,16400.0
2,35,load,30.055555555555557,3305325.4444444445,16400.0
2,36,load,30.96875,3310776.123076923,16400.0
2,37,load,30.68918918918919,3336563.947368421,15472.0
2,38,load,32.42857142857143,3299013.5135135134,13667.0
2,39,load,33.529411764705884,3291159.470588235,13667.0
2,40,load,32.67741935483871,3319582.3492063493,18857.0
2,41,load,31.47826086956522,3274715.4444444445,17200.0
2,42,load,31.897058823529413,3316579.714285714,16000.0
2,43,load,31.75,3324076.5,12923.0
2,44,load,30.845070422535212,3318464.222222222,16400.0
2,45,load,32.60606060606061,3297280.7164179105,16400.0
2,46,load,31.833333333333332,3271435.0,16400.0
2,47,load,34.407407407407405,3324595.186440678,13200.0
2,48,load,30.285714285714285,3271360.153846154,16000.0
2,49,load,30.603174603174605,3316030.25,16400.0
2,50,load,30.577464788732396,3310133.0,16400.0
2,51,load,31.89855072463768,3275843.4857142856,16400.0
2,52,load,34.01538461538462,3294495.9444444445,13200.0
2,53,load,29.942857142857143,3327734.1666666665,20500.0
2,54,load,28.690140845070424,3295184.0,10667.0
2,55,load,31.046875,3319507.1875,13667.0
2,56,load,31.242857142857144,3302856.8,13667.0
2,57,load,30.71641791044776,3309659.2835820895,13231.0
2,58,load,31.797101449275363,3287407.946666667,16000.0
2,59,load,33.172413793103445,3333474.275862069,13667.0
2,60,load,30.67105263157895,3336476.35,16400.0
2,61,load,32.13846153846154,3308429.476923077,13200.0
2,62,load,32.971014492753625,3316897.4492753623,16000.0
2,63,load,30.474358974358974,3292445.487179487,16000.0
2,64,load,31.44871794871795,3277510.481012658,16400.0
2,65,load,30.830985915492956,3305111.0555555555,15600.0
2,66,load,35.640625,3314309.3714285716,15600.0
2,67,load,31.267605633802816,3309962.9444444445,24000.0
2,68,load,31.098591549295776,3326613.2266666666,15761.0
2,69,load,33.30882352941177,3302004.1764705884,13000.0
2,70,load,31.682539682539684,3325134.2352941176,15600.0
2,71,load,34.02857142857143,3296964.4266666668,19200.0
2,72,load,30.41269841269841,3362250.9206349207,16400.0
2,73,load,31.142857142857142,3322045.1428571427,16000.0
2,74,load,32.92063492063492,3308799.4375,15600.0
2,75,load,34.37735849056604,3326079.7288135593,16000.0
2,76,load,31.608695652173914,3311666.8266666667,16400.0
2,77,load,31.91044776119403,3346614.5507246377,15600.0
2,78,load,31.6125,3315912.8,13667.0
2,79,load,30.6,3337162.986666667,13000.0
2,80,load,30.5,3352821.933333333,15667.0
2,81,load,33.05128205128205,3297563.294117647,12263.0
2,82,load,31.19402985074627,3334599.6470588236,16500.0
2,83,load,31.83823529411765,3351166.756756757,15600.0
2,84,load,29.925373134328357,3323227.705882353,16000.0
2,85,load,33.11940298507463,3344936.470588235,15600.0
2,86,load,29.17142857142857,3340173.657142857,15600.0
2,87,load,31.5,3350243.4029850746,15600.0
2,88,load,30.871794871794872,3351670.5,15600.0
2,89,load,31.367816091954023,3314937.5,12400.0
2,90,load,32.47692307692308,3342482.1714285715,19429.0
2,91,load,30.241935483870968,3348867.111111111,12615.0
2,92,load,31.573529411764707,3342831.3513513515,17600.0
2,93,load,31.82089552238806,3325992.4266666668,16000.0
2,94,load,34.25,3335101.230769231,16000.0
2,95,load,30.92,3310825.3866666667,16000.0
2,96,load,33.96363636363636,3328884.2622950817,12800.0
2,97,load,30.025,3342176.296296296,16000.0
2,98,load,30.333333333333332,3309093.1707317075,16000.0
2,99,load,30.5,3316552.4155844157,22857.0
2,100,load,31.661971830985916,3324042.9444444445,12308.0
4,1,load,31.875,3343780.3125,20000.0
4,2,load,29.823529411764707,3342664.705882353,15200.0
4,3,load,30.27777777777778,3360280.3733333335,13200.0
4,4,load,31.445945945945947,3349007.5675675673,16000.0
4,5,load,31.303797468354432,3358181.0864197533,16000.0
4,6,load,33.11290322580645,3349418.5161290322,16000.0
4,7,load,33.95522388059702,3345572.3582089553,16000.0
4,8,load,32.33846153846154,3355331.3333333335,22857.0
4,9,load,30.84722222222222,3347247.7866666666,16400.0
4,10,load,32.394366197183096,3317903.0985915493,13200.0
4,11,load,32.53225806451613,3377943.4285714286,12308.0
4,12,load,32.33802816901409,3353083.267605634,16000.0
4,13,load,34.098591549295776,3330591.5844155843,16400.0
4,14,load,31.421875,3379200.1875,19500.0
4,15,load,31.833333333333332,3310364.3076923075,17200.0
4,16,load,29.18918918918919,3391246.1333333333,15600.0
4,17,load,32.103896103896105,3347787.282051282,10667.0
4,18,load,30.703125,3368596.5,20000.0
4,19,load,33.149253731343286,3379047.1764705884,15600.0
4,20,load,32.13513513513514,3324189.4545454546,13667.0
4,21,load,31.26388888888889,3348823.888888889,16400.0
4,22,load,29.19277108433735,3362105.285714286,15600.0
4,23,load,33.69565217391305,3341567.652173913,15333.0
4,24,load,31.208955223880597,3390925.9104477614,12800.0
4,25,load,33.07142857142857,3373836.2,13000.0
4,26,load,32.723684210526315,3366617.2682926827,16000.0
4,27,load,33.582089552238806,3386280.222222222,16800.0
4,28,load,31.594594594594593,3359129.6533333333,16000.0
4,29,load,31.271428571428572,3364140.1578947366,12308.0
4,30,load,31.387096774193548,3385151.35483871,16400.0
4,31,load,32.17741935483871,3376088.709677419,16400.0
4,32,load,34.359375,3349669.3333333335,16000.0
4,33,load,29.736842105263158,3353931.1794871795,16000.0
4,34,load,32.36231884057971,3388970.76056338,23472.0
4,35,load,29.86764705882353,3380805.705882353,16400.0
4,36,load,30.774647887323944,3407105.722222222,1004185.0
4,37,load,31.17391304347826,3370620.7536231885,12615.0
4,38,load,30.013513513513512,3380220.6486486485,13200.0
4,39,load,31.057971014492754,3392048.347826087,16400.0
4,40,load,33.43076923076923,3376715.0303030303,14667.0
4,41,load,31.863636363636363,3400797.4925373136,16000.0
4,42,load,34.333333333333336,3368366.9565217393,16400.0
4,43,load,32.91803278688525,3389806.303030303,20500.0
4,44,load,31.45945945945946,3377311.8378378376,16000.0
4,45,load,32.94117647058823,3362001.8630136987,11333.0
4,46,load,29.583333333333332,3371098.9176470586,16400.0
4,47,load,31.529411764705884,3383340.695652174,16000.0
4,48,load,29.26086956521739,3379376.5142857144,13667.0
4,49,load,32.08,3376654.947368421,15077.0
4,50,load,32.83561643835616,3359228.8205128205,16400.0
4,51,load,32.90909090909091,3434787.5172413792,16000.0
4,52,load,29.746666666666666,3392519.3066666666,22619.0
4,53,load,30.546875,3407089.3333333335,16000.0
4,54,load,31.586666666666666,3377746.72,16000.0
4,55,load,29.55,3391194.926829268,13667.0
4,56,load,29.01298701298701,3423587.896103896,16000.0
4,57,load,31.742857142857144,3403212.4571428574,16000.0
4,58,load,33.46666666666667,3414701.6393442624,20000.0
4,59,load,32.145161290322584,3430252.0,864000.0
4,60,load,32.421875,3406056.7384615387,16000.0
4,61,load,30.39344262295082,3435317.206349206,13334.0
4,62,load,30.825396825396826,3418360.0,16000.0
4,63,load,30.47142857142857,3433366.4,13333.0
4,64,load,31.884057971014492,3407464.0579710146,16000.0
4,65,load,31.0,3415335.8181818184,16000.0
4,66,load,31.426470588235293,3394004.294117647,16934.0
4,67,load,31.047619047619047,3418677.75,938006.0
4,68,load,31.89830508474576,3433807.1475409837,22857.0
4,69,load,31.23076923076923,3446249.4153846153,16000.0
4,70,load,30.555555555555557,3432673.015873016,16000.0
4,71,load,32.98461538461538,3416606.606060606,20000.0
4,72,load,30.80597014925373,3422320.5970149254,16000.0
4,73,load,30.62857142857143,3438152.5714285714,13200.0
4,74,load,31.14864864864865,3412653.5584415584,13231.0
4,75,load,32.442622950819676,3441005.049180328,12308.0
4,76,load,31.304347826086957,3413737.657142857,928227.0
4,77,load,34.241379310344826,3433286.779661017,20000.0
4,78,load,30.65714285714286,3434705.111111111,16000.0
4,79,load,31.304347826086957,3394443.942857143,13333.0
4,80,load,31.453125,3442176.125,12800.0
4,81,load,33.51724137931034,3451848.5625,16000.0
4,82,load,30.681818181818183,3449343.7647058824,22857.0
4,83,load,32.45945945945946,3434192.658227848,16000.0
4,84,load,33.3125,3428672.4307692307,15600.0
4,85,load,32.6140350877193,3472580.5901639345,12308.0
4,86,load,32.96825396825397,3439584.378378378,13333.0
4,87,load,31.7,3450497.0,12800.0
4,88,load,30.83076923076923,3403022.4,20000.0
4,89,load,31.583333333333332,3440571.6363636362,16000.0
4,90,load,31.561643835616437,3390649.6842105263,16000.0
4,91,load,29.863013698630137,3423196.2666666666,13667.0
4,92,load,32.985074626865675,3422349.8666666667,16000.0
4,93,load,32.34285714285714,3406876.0,15600.0
4,94,load,30.775862068965516,3462648.6896551726,15500.0
4,95,load,30.686567164179106,3436105.0588235296,16400.0
4,96,load,34.15873015873016,3440791.1746031744,20000.0
4,97,load,29.444444444444443,3461631.7560975607,16000.0
4,98,load,32.22727272727273,3429747.4545454546,16000.0
4,99,load,31.426470588235293,3422965.0588235296,22286.0
4,100,load,32.53225806451613,3414568.507936508,16000.0
8,1,load,28.402439024390244,3447978.7804878047,12800.0
8,2,load,31.863636363636363,3481618.6268656715,22857.0
8,3,load,30.64179104477612,3468482.5074626864,15600.0
8,4,load,32.65079365079365,3446519.301587302,15600.0
8,5,load,32.27272727272727,3442233.0303030303,15600.0
8,6,load,29.3768115942029,3468685.4594594594,16000.0
8,7,load,30.88,3474013.052631579,15000.0
8,8,load,32.30769230769231,3468107.076923077,15500.0
8,9,load,32.416666666666664,3484244.7671232875,19500.0
8,10,load,29.216216216216218,3432819.243243243,15600.0
8,11,load,32.67741935483871,3452382.805970149,15077.0
8,12,load,31.026666666666667,3449307.0256410255,18154.0
8,13,load,30.95,3491210.0,15600.0
8,14,load,33.96610169491525,3468289.6666666665,15600.0
8,15,load,30.21917808219178,3484218.4657534244,12400.0
8,16,load,31.734177215189874,3475562.15,21186.0
8,17,load,30.95945945945946,3488048.253164557,15600.0
8,18,load,31.02857142857143,3444222.0,15600.0
8,19,load,31.14864864864865,3502412.053333333,16800.0
8,20,load,31.261904761904763,3472630.619047619,15600.0
8,21,load,31.324324324324323,3477400.7027027025,15600.0
8,22,load,30.525,3472625.05,12400.0
8,23,load,33.89393939393939,3479360.4507042253,15600.0
8,24,load,31.803571428571427,3503897.5714285714,13000.0
8,25,load,29.524390243902438,3495075.9024390243,15600.0
8,26,load,31.691176470588236,3482942.6470588236,15600.0
8,27,load,31.323529411764707,3489764.9411764704,16000.0
8,28,load,30.36111111111111,3470910.8333333335,13000.0
8,29,load,32.4,3522492.383561644,17714.0
8,30,load,33.5,3519362.7333333334,10400.0
8,31,load,30.973333333333333,3486335.36,15600.0
8,32,load,31.32941176470588,3489249.7674418604,15600.0
8,33,load,33.85454545454545,3523682.8474576273,12000.0
8,34,load,32.24242424242424,3498360.5454545454,15600.0
8,35,load,32.134328358208954,3499911.582089552,15600.0
8,36,load,34.01538461538462,3500082.121212121,10333.0
8,37,load,31.846153846153847,3520911.104477612,12400.0
8,38,load,32.19047619047619,3503196.705882353,15200.0
8,39,load,31.207792207792206,3510702.329113924,15600.0
8,40,load,32.015151515151516,3501185.878787879,13000.0
8,41,load,32.072463768115945,3514554.5555555555,15600.0
8,42,load,31.41891891891892,3501544.3733333335,30400.0
8,43,load,33.18571428571428,3523876.32,16000.0
8,44,load,32.39344262295082,3519505.9682539683,15600.0
8,45,load,31.3625,3484852.1951219514,12000.0
8,46,load,32.14705882352941,3521618.4657534244,15600.0
8,47,load,31.037974683544302,3480236.101265823,15600.0
8,48,load,30.333333333333332,3520989.942857143,15600.0
8,49,load,32.38235294117647,3499383.5428571426,19500.0
8,50,load,31.493150684931507,3519264.1621621624,10667.0
8,51,load,31.705882352941178,3535866.0289855073,19667.0
8,52,load,32.34848484848485,3533577.552238806,15600.0
8,53,load,29.534246575342465,3536679.7260273974,16000.0
8,54,load,33.698412698412696,3510359.76119403,20229.0
8,55,load,31.828125,3541693.8125,22286.0
8,56,load,30.430555555555557,3522869.5890410957,15600.0
8,57,load,32.19718309859155,3495435.222222222,12400.0
8,58,load,30.34722222222222,3512995.5135135134,15600.0
8,59,load,32.029411764705884,3527780.588235294,13334.0
8,60,load,29.0,3564716.4864864866,13000.0
8,61,load,28.771428571428572,3587140.7887323946,15600.0
8,62,load,31.98181818181818,3576525.672727273,16000.0
8,63,load,34.68852459016394,3518760.0606060605,15600.0
8,64,load,32.35,3565882.484848485,824001.0
8,65,load,30.608695652173914,3566356.8695652173,16400.0
8,66,load,31.596774193548388,3576363.5223880596,15600.0
8,67,load,36.285714285714285,3537838.72,15600.0
8,68,load,31.066666666666666,3542003.6266666665,13000.0
